AphiaID	ScientificName	Authority	DrID	Longitude	Source	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
326194	Aberranta enigmatica	Hartman, 1965	775120		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Annelida	Polychaeta		Aberrantidae	Aberranta		enigmatica	
117871	Abietinaria filicula	(Ellis & Solander, 1786)	749587		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria		filicula	
117871	Abietinaria filicula	(Ellis & Solander, 1786)	749233		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria		filicula	
101876	Acanthonotozoma rusanovae	Bryazgin, 1974	774248		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Arthropoda	Malacostraca	Amphipoda	Acanthonotozomatidae	Acanthonotozoma		rusanovae	
101877	Acanthonotozoma serratum	(Fabricius, 1780)	774249		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Arthropoda	Malacostraca	Amphipoda	Acanthonotozomatidae	Acanthonotozoma		serratum	
102864	Acanthostepheia malmgreni	(Goës, 1866)	774304		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Arthropoda	Malacostraca	Amphipoda	Oedicerotidae	Acanthostepheia		malmgreni	
149751	Acartia (Acartiura) hudsonica	Pinhey, 1926	774873		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia	Acartiura	hudsonica	
346037	Acartia (Acartiura) longiremis	(Lilljeborg, 1853)	775135		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia	Acartiura	longiremis	
346037	Acartia (Acartiura) longiremis	(Lilljeborg, 1853)	769739		Préfontaine, G. & P. Brunel. (1962). Liste d'invertébrés marins recueillis dans l'estuaire du Saint-Laurent de 1929 à 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1.	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia	Acartiura	longiremis	
158476	Achelia spinosa	(Stimpson, 1853)	775017		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Arthropoda	Pycnogonida	Pantopoda	Ammotheidae	Achelia		spinosa	
