AphiaID	ScientificName	DrID	Source	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
326194	Aberranta enigmatica	775120	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Annelida	Polychaeta		Aberrantidae	Aberranta		enigmatica	
117871	Abietinaria filicula	749587	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria		filicula	
117871	Abietinaria filicula	749233	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria		filicula	
101876	Acanthonotozoma rusanovae	774248	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Arthropoda	Malacostraca	Amphipoda	Acanthonotozomatidae	Acanthonotozoma		rusanovae	
101877	Acanthonotozoma serratum	774249	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Arthropoda	Malacostraca	Amphipoda	Acanthonotozomatidae	Acanthonotozoma		serratum	
102864	Acanthostepheia malmgreni	774304	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Arthropoda	Malacostraca	Amphipoda	Oedicerotidae	Acanthostepheia		malmgreni	
149751	Acartia (Acartiura) hudsonica	774873	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia	Acartiura	hudsonica	
346037	Acartia (Acartiura) longiremis	775135	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia	Acartiura	longiremis	
346037	Acartia (Acartiura) longiremis	769739	"Pr̩fontaine, G. & P. Brunel. (1962). Liste d'invert̩br̩s marins recueillis dans l'estuaire du Saint-Laurent de 1929 �� 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1."	Animalia	Arthropoda		Calanoida	Acartiidae	Acartia	Acartiura	longiremis	
158476	Achelia spinosa	775017	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Arthropoda	Pycnogonida	Pantopoda	Ammotheidae	Achelia		spinosa	
149387	Achnanthes brevipes	708585	"Kim, K. Y. , Garbary, D. J. and McLachlan, J.L. 2004.  Phytoplankton dynamics in Pomquet Harbour, Nova Scotia: a lagoon in the southern Gulf of St. Lawrence. Phycologia 43(3) :311-328."	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes		brevipes	
160618	Achnanthes brevipes var. intermedia	708394	"Brunel, J. 1970. Le phytoplancton de la Baie des Chaleurs. Contributions du Minist̬re de la Chasse et des P̻cheries, Montreal. 91: 365 pp."	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes		brevipes	
160629	Achnanthes hauckiana var. rostrata	708589	"Mather, L., MacIntosh, K., Kaczmarska, I., Klein, G. and Martin, J.L. 2010. A checklist of diatom species reported (and presumed native) from Canadian coastal waters.  Can. Tech. Rep. Fish. Aquat. Sci. 2881: 81 p"	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes		hauckiana	
156533	Achnanthes longipes	708586	"Kim, K. Y. , Garbary, D. J. and McLachlan, J.L. 2004.  Phytoplankton dynamics in Pomquet Harbour, Nova Scotia: a lagoon in the southern Gulf of St. Lawrence. Phycologia 43(3) :311-328."	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes		longipes	
271694	Acipenser fulvescens	775117	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Chordata	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser		fulvescens	
151802	Acipenser oxyrinchus	774879	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Chordata	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser		oxyrinchus	
159951	Acirsa borealis	775072	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Epitoniidae	Acirsa		borealis	
160065	Acteocina canaliculata	775076	"Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec"	Animalia	Mollusca	Gastropoda	Cephalaspidea	Acteocinidae	Acteocina		canaliculata	
160065	Acteocina canaliculata	749651	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Mollusca	Gastropoda	Cephalaspidea	Acteocinidae	Acteocina		canaliculata	
160065	Acteocina canaliculata	749297	"Mark, S., Provencher, L., Albert, E. et Noz̬res, C. 2010. Cadre de suivi ̩cologique de la zone de protection marine Manicouagan (Qu̩bec) : bilan des connaissances et identification des composantes ̩cologiques �� suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p"	Animalia	Mollusca	Gastropoda	Cephalaspidea	Acteocinidae	Acteocina		canaliculata	
