"Sharma, I.K. (1980). A study of ecosystems of the Indian desert. Trans. Indian Soc. Desert Technol. and Univ. Center Desert Stud. 5(2):51-55. ",,,,,,,,,,,,,,,,,
Rajasthan Desert - India,hoppers - ants - termites - beetles,gerbils - hares,antelopes - gazelle - backbuck - nilgai,doves - larks - sandgrouse,vultures - crows,spiders - wasps - tiger beetles - carpenter ants,rodents,partridge - peafowl - babbler,snakes - varanids,jackal Canis aureaus,hedgehog,bultul - shrike - Indian robin,desert cat Felis libyca,fox Vulpes vulpes,shikra,wolf Canis lupus,stray dog Canis familiaris
Cyperus - Cenchrus - Eleucine,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Crotalaria - Zizyphus,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Prosopis cineraria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
animal carcasses,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
animal dung,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hoppers - ants - termites - beetles,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
gerbils - hares,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
antelopes - gazelle - backbuck - nilgai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
doves - larks - sandgrouse,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
spiders - wasps - tiger beetles - carpenter ants,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0
rodents,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
partridge - peafowl - babbler,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
snakes - varanids,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
jackal Canis aureaus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hedgehog,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
bultul - shrike - Indian robin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
desert cat Felis libyca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
