"Castilla, J.C. (1981). Perspectivas de investigacion en estructura y dinamica de comunidades intermareales rocosas de Chile Central. II. Depredadores de alto invel trofico. Medio Ambiente 5: 190-215.",,,,,,,,,,,,,,,,,,
Rocky shore - central Chile,mussels,barnacles,ascidians,keyhole limpets,limpets,herbivorous snails,chitons,sea urchins,crabs,polychaetes - isopods,Crassilabrum crassilabrum,Concholepas concholepas,Acanthocyclus spp.,Sicyases sanguineus,Heliaster helianthus,Larus dominicanus,Haematopus ater,Lutra felina
plankton - suspended detritus,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benthic algae,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
detritus,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
mussels,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
barnacles,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
ascidians,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
keyhole limpets,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
limpets,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
herbivorous snails,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
chitons,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
sea urchins,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
crabs,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
polychaetes - isopods,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Crassilabrum crassilabrum,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Concholepas concholepas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Acanthocyclus spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Sicyases sanguineus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
