"Marshall, B.E. (1982). The fish of Lake McIlwaine.  In: J. A. Thornton (ed). Lake McIlwaine:  the eutrophication and recovery of a tropical man-made lake. Monographia Biologicae, Vol 49, (D. W. Junk Publishers, The Hague), pp. 156-188.",,,,,,,,,,,,,,
Lake McIlwaine - Africa,zooplankton,dipteran larvae and pupae (and other aquatic insects),gastropods,oligochaetes,Labeo altivelis (cyprinid fish),Sarortherdon macrochir (cichlid fish),Clarias gariepinus (clarid fish),Alestes imberi (characid fish),Marcusenios macrolepidotus (mormyrid fish),Mormyrus longirostris (mormyrid fish),Haplochromis codringtoni (cichlid fish),Haplochromis darlingi (cichlid fish),Tilapia rendalli (cichlid fish),Hydrocynus vittatus (characid fish)
epiphytic algae,0,0,1,0,1,1,0,0,0,0,0,0,1,0
detritus and benthic algae,0,1,1,1,1,1,0,0,0,0,0,0,1,0
phytoplankton,1,0,0,0,0,1,0,0,0,0,0,0,0,0
macrophytes,0,0,0,0,0,0,0,0,0,0,0,0,1,0
terrestrial insects,0,0,0,0,0,0,1,1,0,0,0,0,0,1
zooplankton,0,0,0,0,0,1,1,0,0,0,0,1,1,0
dipteran larvae and pupae (and other aquatic insects),0,0,0,0,0,0,1,1,1,1,0,1,1,1
gastropods,0,0,0,0,0,0,1,0,0,0,-1,1,0,0
Sarortherdon macrochir (cichlid fish),0,0,0,0,0,0,0,0,0,0,0,0,1,1
Haplochromis darlingi (cichlid fish),0,0,0,0,0,0,0,0,0,0,0,0,1,1
Tilapia rendalli (cichlid fish),0,0,0,0,0,0,0,0,0,0,0,0,0,1
