"D.J.W. Moriarty, J.P.E.C. Darlington, I.G. Dunn, C.M. Moriarty and M.P. Tevlin. (1973). Feeding and Grazing in Lake George, Uganda. Proc. R. Soc. Lond. B. 184, pp. 299-319.",,,,,,,,,,,,,
Lake George - Uganda,zooplankton (e.g. - adult Thermocyclops hyalinus),juvenile Thermocyclops,Cladocera,Haplochromis nigripinnis - adult,Tilapia nilotica - adult,chironomid larvae,ostracods,oligochaetes,young fish,Chaoborous,Haplochromis angustifrons,piscivorous fish,man
detritus with decomposers,0,0,0,0,0,1,1,1,0,0,0,0,0
phytoplankton (large particles),1,0,0,1,1,0,0,0,0,0,0,0,0
phytoplankton (small particles),0,-1,-1,0,0,0,0,0,0,0,0,0,0
zooplankton (e.g. - adult Thermocyclops hyalinus),0,0,0,0,0,0,0,0,1,1,0,0,0
Cladocera,0,0,0,0,0,0,0,0,1,-1,0,0,0
Haplochromis nigripinnis - adult,0,0,0,0,0,0,0,0,0,0,0,1,0
Tilapia nilotica - adult,0,0,0,0,0,0,0,0,0,0,0,0,1
chironomid larvae,0,0,0,0,0,0,0,0,0,0,1,0,0
ostracods,0,0,0,0,0,0,0,0,0,0,1,0,0
oligochaetes,0,0,0,0,0,0,0,0,0,0,1,0,0
young fish,0,0,0,0,0,0,0,0,0,0,0,1,0
piscivorous fish,0,0,0,0,0,0,0,0,0,0,0,0,1
