"Kitching, R.L. (1983). Community structure in water-filled treeholes in Europe and Australia - comparisons and speculations.  In: J. H. Frank and L. P. Lounibos, (eds), Phytotelmata: Terrestrial Plants as Hosts for Aquatic Insect Communities, (Plexus Publ., Inc., New Jersey), pp. 205-222.",,,,,,,,,
Treeholes (T. conferta - Ficus sp.) Australia,Lechriodus fletcheri,Anatopynia sp.,Cheiroseius sp.,Prionocyphon sp.,hyadesiid mite,Aedes sp. 22,Aedes candidoscutellum,Culicoides angularis,Arrenurus sp.
Anatopynia sp.,1,0,0,0,0,0,0,-1,0
Cheiroseius sp.,0,0,0,0,0,0,0,0,-1
Prionocyphon sp.,1,1,0,0,0,0,0,0,0
hyadesiid mite,0,0,1,0,0,0,0,0,-1
Aedes sp. 22,1,1,0,0,0,0,0,-1,-1
Aedes candidoscutellum,1,1,0,0,0,0,0,-1,-1
large detritus particles,0,0,0,1,0,0,0,0,0
small detritus particles,0,0,0,0,1,1,1,0,0
suspended organic matter,0,0,0,0,0,1,1,0,0
Culicoides angularis,1,0,0,0,0,0,0,0,-1
Arrenurus sp.,-1,0,0,0,0,0,0,0,0
