"Askew, R.R. (1961). On the biology of the inhabitants of oak galls of Cynipidae (Hymenoptera) in Britain. Trans. Soc. Brit. Entomol. 14:237-268.",,,,,,,,,,,,,
Oak galls of C. divisa (Quercus robur) Wytham Wood - UK,Mesopolobus jucundus,M. fasciiventris,Eurytoma brunniventris,Torymus cingulatus,T. nigricornis,Syntomaspis cyanea,Torymus auratus,S. pallicornis,Tetrastichus aethiops,Synergus nervosus,Cynips divisa,Eupelmus urozonus,Eudecatoma biguttata
Mesopolobus jucundus,0,0,0,0,0,0,0,0,0,0,0,1,0
M. fasciiventris,0,0,0,0,0,0,0,0,0,0,0,1,0
Eurytoma brunniventris,1,1,0,0,0,0,0,0,0,0,0,0,0
Torymus cingulatus,1,1,0,0,0,0,0,0,0,0,0,1,0
T. nigricornis,1,1,0,0,0,0,0,0,0,0,0,1,0
Syntomaspis cyanea,0,0,0,1,1,0,0,0,0,0,0,0,0
S. pallicornis,1,1,1,0,0,0,0,0,0,0,0,0,0
Synergus nervosus,1,1,1,1,1,0,1,0,1,0,0,0,0
Cynips divisa,1,1,1,1,1,1,1,0,0,0,0,0,1
gall tissue (Q. robur),0,0,1,0,0,1,0,1,0,1,1,0,0
