"Askew, R.R. (1961). On the biology of the inhabitants of oak galls of Cynipidae (Hymenoptera) in Britain. Trans. Soc. Brit. Entomol. 14:237-268.",,,,,,,,,,,
Oak galls of C. longiventris (Quercus robur) Wytham Wood - UK,Mesopolobus jucundus,M. fasciiventris,Eurytoma brunniventris,Torymus cingulatus,T. nigricornis,T. auratus,Syntomaspis cyanea,Synergus pallicornis,Cynips longiventris,Synergus nervosus,Eupelmus urozonus
Mesopolobus jucundus,0,0,0,1,1,0,0,0,0,0,0
M. fasciiventris,0,0,0,1,1,0,0,0,0,0,0
Eurytoma brunniventris,1,1,0,1,1,0,0,0,0,0,1
Torymus cingulatus,0,0,0,0,0,0,0,0,0,0,1
T. nigricornis,0,0,0,0,0,0,0,0,0,0,1
Syntomaspis cyanea,0,0,1,0,0,0,0,0,0,0,0
Synergus pallicornis,1,1,1,0,0,0,0,0,0,0,0
Cynips longiventris,1,1,1,1,1,1,1,0,0,0,0
Synergus nervosus,1,1,1,1,1,0,0,0,0,0,0
gall tissue (Q. robur),0,0,1,0,0,0,1,1,1,1,0
