"Beaver, R.A. (1972).  Ecological studies on Diptera breeding in dead snails. I.  Biology of the species found in Cepaea nemoralis (L.).  The Entomologist 105:41-52.",,,,,,,,,,,,,,,,,,,
Snail carrion (Cepaea nemoralis) Anglesey - Wales,Psychoda humeralis,Spiniphora maculata,Megaselia brevicostalis,M. tenebricola,Piophila vulgaris,Neoleria maritima,Leptocera luteilabris,Sphaerocera vaporariorum,Sarcophaga hirticrus,S. nigriventris,S. teretirostris,Muscina assimilis,Fannia canicularis,Hydrotaea occulta,Subhylemyia longula,Lasiomma octoguttatum,Craspedochoeta pullula,Mesoleptus sp.,Trybliographa sp.
Psychoda humeralis,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Spiniphora maculata,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Megaselia brevicostalis,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
M. tenebricola,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Piophila vulgaris,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Neoleria maritima,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Leptocera luteilabris,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Sphaerocera vaporariorum,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Sarcophaga hirticrus,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
S. nigriventris,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
S. teretirostris,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Fannia canicularis,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Subhylemyia longula,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Lasiomma octoguttatum,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Craspedochoeta pullula,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
snail carrion (Cepaea nemoralis),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
