"I. Valiela. (1969). An Experimental Study of the Mortality Factors of Larval Musca autumnalis DeGeer. Ecological Monographs. 39(2), pp. 199-225.",,,,,,,,,
Bovine dung arthropods - New York - USA,Sphaeridium scarabaeoides,S. scarabaeoides larvae,Philonthus sp.,Platystethus sp.,Falagria sp.,Oxytelus sp.,Hyponigrus sp.,Aleochara sp.,S. bipostulatum
Cercyon sp.,0,0,1,0,0,0,0,0,0
Platystethus sp.,0,0,1,0,0,0,1,-1,0
Falagria sp.,0,0,-1,0,0,0,-1,-1,0
Oxytelus sp.,0,0,1,0,0,0,-1,-1,0
Hyponigrus sp.,0,0,-1,0,0,0,0,-1,0
Atheta sp.,0,0,1,0,0,0,-1,-1,0
Aleocharine B65,0,0,-1,0,0,0,-1,-1,0
Acrotrichis sp.,0,0,0,-1,0,0,0,0,0
Musca autumnalis eggs,0,0,1,0,0,0,-1,1,0
M. autumnalis first instar,0,0,1,0,0,0,-1,1,0
M. autumnalis second instar,0,0,1,0,0,0,1,1,0
Sarcophaga sp. first instar,0,0,1,0,0,0,-1,-1,0
S. sp. second instar,0,0,0,0,0,0,0,1,0
Ravinia l'herminieri first instar,0,0,-1,0,0,0,-1,-1,0
Ravinia l'herminieri second instar,0,0,0,0,0,0,0,-1,0
Saltella sphondylii larvae,0,0,1,0,0,0,1,1,0
Sepsis sp. larvae,0,0,1,0,0,0,1,1,0
Sepsid B larvae,0,0,-1,0,0,0,-1,-1,0
Leptocera sp.,0,0,-1,0,0,0,-1,-1,0
Leptocera sp. larvae,0,0,-1,0,0,0,-1,-1,0
Psychoda sp. larvae,0,0,-1,0,0,0,-1,-1,0
Diptera B66,0,0,-1,0,0,0,-1,-1,0
Diptera C66,0,0,-1,0,0,0,-1,-1,0
Collembola (unspecified),0,0,-1,-1,0,0,-1,-1,0
Macrocheles sp.,0,0,1,-1,0,0,-1,-1,0
parasitus (unspec.),0,0,1,-1,0,0,-1,-1,0
dung,1,1,1,1,1,1,1,1,1
