"G. Fryer. (1959). The trophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freshwater lake - Crocodile Creek - Lake Nyasa - Africa,Crocodilus niloticus,Cichlidae (juvenile),Barbus innocens,Serranochromis robustus,Naucoris sp.,Clarias mellandi,frogs (unspecified),anisopterid larvae,Barbus paludinosus,Alestes imberi,mosquito larvae (unknown),Cyclopoid copepods,Zygopterid larvae,Caridina nilotica,Barilius microcephalus,Tilapia spp.,Gyraulus costulatus,Cladocera (unspec.),chironomid larvae,caddis larvae,Baetid nymphs,Micronecta sp.,Barbus sp.,Segmentorbis angustum,Limnaea sp.,Haplochromis similis,Clarius mossambicus,gerrids (unspec.)
frogs (unspecified),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dytiscid beetles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anisopterid larvae,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mosquito larvae (unknown),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclopoid copepods,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Caridina nilotica,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gyraulus costulatus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladocera (unspec.),0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chironomid larvae,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
caddis larvae,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baetid nymphs,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bottom algae & detritus,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0
higher plants (unspec.),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
fishes (indeterm.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
terrestrial insects (unspec.),0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
