"Ricker, W.E. (1934).  An ecological classification of certain Ontario streams. Univ. Toronto Studies, Biol. Serv. 37, (Publ. Ontario Fish. Res. Lab.), 49:7-114.",,,,,,,,,,,,,,
Trout stream fauna - Mad River - Ontario - Canada,Salvelinus fontinalis,Cottus bairdii,Eucalia inconstans,phryganeids (unspecified),Ephemera sp.,Cyclops sp.,Chydorus sp.,Bosmina sp.,Pleuroxus sp.,ostracods (unspec.),Hyallela knickerbockerii,Araneidae (spiders),Cambarus propinquus,limnephilids (unspec.)
Cottus bairdii,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eucalia inconstans,1,0,0,0,0,0,0,0,0,0,0,0,0,0
phryganeids (unspecified),1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemera sp.,1,1,0,0,0,0,0,0,0,0,0,0,0,0
baetids (unspec.),1,1,1,0,0,0,0,0,0,0,0,0,0,0
trichopterans (unspec.),1,0,0,0,0,0,0,0,0,0,0,0,0,0
chironomids (unspec.),1,1,1,1,0,0,0,0,0,0,0,0,0,0
Cyclops sp.,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Chydorus sp.,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Bosmina sp.,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pleuroxus sp.,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ostracods (unspec.),0,1,1,0,0,0,0,0,0,0,0,0,0,0
Hyallela knickerbockerii,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Araneidae (spiders),1,0,0,0,0,0,0,0,0,0,0,0,0,0
podurids (unspec.),1,0,0,0,0,0,0,0,0,0,0,0,0,0
psychodids (unspec.),1,0,0,0,0,0,0,0,0,0,0,0,0,0
tanypinids (unspec.),1,1,1,0,0,0,0,0,0,0,0,0,0,0
Culicoides sp.,1,1,0,0,0,0,0,0,0,0,0,0,0,0
terrestrial homopterans,1,0,0,0,0,0,0,0,0,0,0,0,0,0
terrestrial flies,1,0,1,0,0,0,0,0,0,0,0,0,0,0
terrestrial beetles,1,0,0,0,0,0,0,0,0,0,0,0,0,0
terrestrial hymenopterans,1,0,0,0,0,0,0,0,0,0,0,0,0,0
leeches (unspec.),1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambarus propinquus,1,0,0,0,0,0,0,0,0,0,0,0,0,0
limnephilids (unspec.),1,0,0,0,0,0,0,0,0,0,0,0,0,0
oligochaetes (unspec.),0,1,0,0,0,0,0,0,0,0,0,0,0,0
heptagenids (unspec.),0,1,0,0,0,0,0,0,0,0,0,0,0,0
corixids (unspec.),0,1,1,0,0,0,0,0,0,0,0,0,0,0
Gyraulus parvus,0,0,1,0,0,0,0,0,0,0,0,0,0,0
diatoms (unspec.),0,0,0,0,1,1,1,1,1,1,1,1,0,0
filamentous algae,0,0,0,0,1,1,1,1,1,1,1,1,0,0
detritus,0,0,0,0,1,1,1,1,1,1,1,1,1,0
dead plants,0,0,0,0,1,0,0,0,0,0,0,0,1,1
