"Ricker, W.E. (1934).  An ecological classification of certain Ontario streams. Univ. Toronto Studies, Biol. Serv. 37, (Publ. Ontario Fish. Res. Lab.), 49:7-114.",,,,,,,
Soft water trout stream - Ontario - Canada,Salvelinus fontinelis (5-12 inches),"S. fontinalis (12-20"")",Semotilus atromaculatus,Pereca flavescens,Eupomotis gibbosus,Notropis cornutus,Catostomus commersonnii
Semotilus atromaculatus,0,1,0,0,0,0,0
Pereca flavescens,0,1,0,0,0,0,0
Eupomotis gibbosus,0,1,0,0,0,0,0
Notropis cornutus,0,1,0,0,0,0,0
Catostomus commersonnii,0,1,0,0,0,0,0
ephemopteran (unspecified),1,0,0,0,0,0,0
plecopteran (unspec.),1,0,0,0,0,0,0
odonate (unspec.),1,0,0,0,0,1,0
Simulium sp.,1,0,0,0,0,0,0
Hydropsychid (unspec.),1,1,0,0,0,0,0
Cambarus bartonii,1,1,1,0,0,0,0
chironomids (unspec.),0,0,0,1,0,0,1
Plumatella sp.,0,0,0,1,1,1,0
filamentous algae,0,0,1,0,1,1,0
Ferrissia sp.,0,0,0,0,1,0,0
copepods (unspec.),0,0,0,0,0,0,1
ostracods (unspec.),0,0,0,0,0,0,1
cladocerans (unspec.),0,0,0,0,0,0,1
Rhagovelia sp.,0,1,0,0,0,0,0
frogs (unspec.),0,1,0,0,0,0,0
diatoms,0,0,0,0,0,0,1
