"R.M. Thompson and C.R. Townsend. (2003). Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84(1), pp. 145-161.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Stream - Maine - USA,Aelosoma (N=10),Boyeria (N=1),Brillia (N=10),Bryophaenocladius (N=3),Cernotina (N=Chimara),Chimara (N=2),Cinygmula (N=3),Conchapelopia (N=10),Cricotopus (N=10),Dicrotendipes (N=10),Elmid I adult (N=1),Endochironomous (N=3),Eukieferiella sp. II (N=10),Eukiefferiella type 'dark' (n=5),Eukieffidriella 'naonella' type  (N=10),Gomphus (N=1),Gyraulus (N=1),Hydrobia (N=1),Hydropyschid I (N=10),Larsia (N=Conchapelopia),Leuctra (N=5),Lumbriculiid 'pink' (N=1),Lumbriculiid 'slim white' (N=10),Micrasema (N=1),Paralauterborniella (N=Endochironomous),Probezzia (N=10),Pseudorthocladius (N=5),Simulium (N=10),Sphaerium occidentale (N=10),Stempellinella (N=10),Stenelmis (N=2),Suwalia (N=5),Tachopteryx (N=1),Long-nose Dace (N=2),Blacknose Shiner (N=2),Flathead Minnow (N=1),Crayfish (N=2)
Unidentified organic matter,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
Terrestrial plant material,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Terrestrial invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes inflata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auodinella hermanni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Calothrix,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocconeis placentula,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Cymbella aspera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Cymbella kappi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cymbella lunata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
