"R.M. Thompson and C.R. Townsend. (2003). Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84(1), pp. 145-161.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martins stream - Maine - USA,Acroneuria spp. (N=10),Aelosoma sp. (N=ANTOCHA SAXICOLA),Alloperla sp. (N=5),Anepeorus sp. (N=10),Antocha saxicola (N=10),Baetis (pygmaeus?) (N=10),Boyeria vinosa (N=1),Bryophaenocladius sp. (N=2),Chauliodes sp. (N=10),Chimarra atterima (N=10),Chironomini unknown (N=DICROTENDIPES),Conchapelopia sp. (N=10),Cryptolabis sp. (N=3),Cyrnellus sp. (N=POLYCENTROPUS),Dicrotendipes spp. (N=10),Diplectrona modesta (N=1),Ectopria nervosa (N=10),Endochironomous (N=4),Ephemerella sp. (N=3),Eukieferiella pseudomontana (N=10),Eukiefferiella 'dark' type (N=10),Glossosoma sp. (N=1),Gyraulus sp. (N=2),Haploperla brevis (N=1),Hexatoma sp. (N=10),Hydrophilidae (unknown larva) (N=1),Hydropsyche sparana (N=10),Larsia sp. (N=1),Leucrocuta spp. (N=10),Leuctra spp. (N=10),Lumbriculiid oligochaete unknown long (N=ANTOCHA SAXICOLA),Metriocnemus spp. (N=10),Micrasema sp. (N=1),Ochthebius sp. (larva) (N=HYDROPHILIDAE),Ophiogomphus sp. (N=6),Paraleptophlebia spp. (N=4),Paranyctiophylax sp. (N=5),Polycentropus sp. (maculatus?) (N=4),Probezzia sp. (N=10),Promoresia sp. (N=10),Psephenus spp. (N=10),Pseudolimnolphila sp. (N=1),Rhyacophila sp. (N=1),Simulium spp. (N=10),Sphaerium occidentale (N=10),Stempelinella sp. (N=10),Stenelmis crenata (larvae) (N=10),Stenelmis sp. (adult) (N=STENELMIS (LARVAE)),Suwalia sp. (N=1),Tallaperla spp. (N=10),Tanytarsus Genus A (N=1),Tricorythodes sp. (N=1),Notropis heterolepsis [Blacknose Shiner] (N=5),Brook trout (N=2),Orcnocetes virilis [Crayfish] (N=2),Rhinichthys cataractae [Longnose Dace] (N=8),Cambarus bartonii [Crayfish] (N=1)
Unidentified detritus,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
Terrestrial plant material,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1
Terrestrial invertebrates,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Achnanthes lanceolata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batrachospermum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calothrix spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cocconeis placentula,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Cosmarium spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclotella spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cymbella aspera,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
