"R.M. Thompson and C.R. Townsend. (2003). Impacts on Stream Food Webs of Native and Exotic Forest: An Intercontinental Comparison. Ecology. 84(1), pp. 145-161.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coweeta17 - North Carolina - USA,Aeolosoma sp. (N=1),Ajax longipes (N=1),Amphinemura wui (N=2),Anchytarsus bicolor (N=1),Baetis (N=2),Hudsonimya (N=1),Cricotopus (N=1),Dicranota (N=5),Eukieffidrella pseudomontana (N=1),Diplectrona modesta (N=10),Dixella (N=1),Dolophilodes (N=4),Ectopria thoracica (N=10),Epeorus dispar (N=3),Fattigia pele (N=2),Hexatoma sp. (N=1),Leuctra (N=10),Oligo Lumbr. Blue (N=2),Oligo. Lumbr. Pink (N=5),Ophiogomphus (N=3),Paraleptophelebia (N=2),Pericoma (N=1),Pilaria (N=1),Pentaneuri sp A. (N=1),Polycentropus maculatus (N=2),Stenelmis (N=10),Tallaperla maria (N=3),Tanyderid (N=1),Conchapelopia (N=1),Tipula (N=2),Wormaldia moesta (N=1),Crayfish (N=3),Salamander (N=2)
Unknown organic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Terrestrial plants,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1
Terrestrial bugs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Achnanthes inflata var. elata,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes lanceolata,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes linearis,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes minutissima,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Auodinella hermanii,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Green algae,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Calothrix,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocconeis placentula,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cymbella kappi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cymbella mulleri,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatoma heimale,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epithemia turgida,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eunotia meisteri,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eunotia pectinalis,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
