"R.M. Thompson and C.R. Townsend. (2004). Land-use influences on New Zealand stream communities: effects of species composition, functional organisation, and food-web structure. New Zealand Journal of Marine and Freshwater Research. 38, pp. 595-608.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kye Burn Creek - New Zealand,Aoteapsyche sp.,Aphrophila noevaezelandiae,Archicaulioides diversus,Austraclima jollyae,Austrosimulium australense ,Unknown orthoclad,Cricotopus II,Maoridiamesea,Eukiefiriella,Tanytarsini II,Larsia I,Pirara,Naonella,Podonomus,Polypedellum,Cricotopus I ,Tanypodini,Tanytarsini I ,Costachorema xanthoptera,Deleatidium spp.,Heliopsyche albescens,Hexatomini sp.,Hydora nitida larvae,Hydraena homalaena ( Type H1),Hydraena homalaena (Type H2),Hydraena orchymontia,Hydrobiosella sp. ,Hydrobiosid spp. ,Oligochaeta type II,Olinga feredayi,Oxyethira albiceps,Paroxyethira eatoni/hintoni,Psilachorema bidens,Scirtid sp. larvae (Broad type),Scirtid sp. larvae (Skinny type),Scirtid spp. adult,Zelandoperla sp.,Zelandoperla/Acroperla sp. ,Zelolessica cheira,Salmo trutta
Unidentified detritus,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
Terrestrial invertebrates,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Macrophyte,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Moss cells,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes lanceoloata,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Achnanthes linearis,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Achnanthes minutissima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes saxonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Achnanthes sp. (small),0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asterionella sp.,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Cocconeis sp.,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0
Cyclotella sp.,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0
Cymbella aspera,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cymbella cuspidata,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cymbella kappii,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cymbella minuta,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0
