"R.M. Thompson and C.R. Townsend. (2004). Land-use influences on New Zealand stream communities: effects of species composition, functional organisation, and food-web structure. New Zealand Journal of Marine and Freshwater Research. 38, pp. 595-608.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stony Creek - New Zealand,Acroperla sp.,Amphipoda spp.,Aoteapsyche sp. ,Aphrophila noevaezelandiae,Archichaulioides diversus,Austroclima jollyae,Austroperla cyrene,Austrosimulium australense,Ceratopogonid sp.,Unknown orthoclad,Cricotopus II,Maoridiamesea,Eukiefiriella,Larsia I,Pirara,Naonella,Podonomus,Polypedellum,Cricotopus I ,Tanytarsini,Coloburiscus humeralis,Costachorema xanthoptera,Deleatidium spp.,Eriopterini sp.,Helicopsyche albescens,Hudsonema amabilis,Hydora nitida (larva),Hydrobiosid sp.,Hydrobiosis parumbripennis,Megaleptoperla diminuta,Nesameletus ornatus,Oligochaete Type I,Oligochaete Type II,Olinga feredayii,Orchymontia sp.,Oxyethira albiceps,Philorheithrus agilis,Podaena sp. ,Polyplectropus puerilis,Potamopyrgus antipodarum,Psilochorema bidens,Pycnocentria sp.,Pycnocentrodes evecta,Scirtid sp. (Broad type),Scirtid sp. (Skinny type),Stenoperla prasinia,Tiphobiosis sp.,Zelandoperla sp.,Galaxias sp. 
Unidentified detritus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
Terrestrial invertebrate,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
Macrophyte,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1
moss cells,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Achnanthes lanceoloata,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Achnanthes linearis,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Achnanthes minutissima,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes saxonica,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Achnanthes sp. (small),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Asterionella sp.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
