"Varley, G.C. (1970). The concept of energy applied to a woodland community. In: A. Watson, (ed). Animal populations in relation to their food resources. (Blackwell Scientific, Oxford, England), pp. 389-401.",,,,,,,,,,,,,,,,,,
Wytham wood - England,insects,winter moth,Tartrix,leaf feeders,earthworms,fungi,voles - mice,spiders,titmice,Cyzenis,Philanthus - Abax - Feronia,soil insects - mites,parasites,owls,weasels,hyperparasites,shrews,moles
herbs,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
trees and bushes,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
oak trees,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
total litter,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
insects,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
winter moth,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1
Tartrix,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
leaf feeders,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
earthworms,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
fungi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
voles - mice,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
spiders,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
titmice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cyzenis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Philanthus - Abax - Feronia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
soil insects - mites,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
