"Ratsirarson, J., and Silander, J.A. (1996). Structure and Dynamics in Nepenthes madagascariensis Pitcher Plant Micro-Communities. Biotropica. 28, pp. 218-227.",,,,,,,,,,
Pitcher plant community - Nepenthes madagascariens - Madagascar,Live insects visiting the pitcher,"Terrestrial predators living around the pitchers (spiders, mantids, dragonflies)",Recently drowned insects,Fruit fly larvae (Chloropidae),"Microorganisms (bacteria, protozoa, yeast)",Organic debris,Mites (Creutzeria sp),Mosquito larvae (Uranotaenia belkini),Mosquito larvae (Uranotaenia bosseri),Ants (Tetraponera sahlbergi)
Live insects visiting the pitcher,0,1,0,0,0,0,0,0,0,0
"Terrestrial predators living around the pitchers (spiders, mantids, dragonflies)",0,0,0,0,0,0,0,0,0,0
Recently drowned insects,0,0,0,1,1,0,0,0,1,1
Fruit fly larvae (Chloropidae),0,1,0,0,0,0,0,0,0,1
"Microorganisms (bacteria, protozoa, yeast)",0,0,0,0,0,0,1,1,1,0
Organic debris,0,0,0,0,1,0,1,0,0,1
Mites (Creutzeria sp),0,0,0,0,0,0,0,0,0,1
Mosquito larvae (Uranotaenia belkini),0,1,0,0,0,0,0,0,0,1
Mosquito larvae (Uranotaenia bosseri),0,1,0,0,0,0,0,1,0,1
Ants (Tetraponera sahlbergi),0,0,0,0,0,0,0,0,0,0
