"Memmott, J. Martinez, N.D., and Cohen, J.E. (2000). Predators, parasitoids and pathogens: species richness, trophic generality and body sizes in a natural food web. Journal of Animal Ecology. 69, pp. 1-15.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotch Broom (Cytisus scoparius) - Silwood Park - England,Cytisus scoparius,Bruchidius ater (Marsham),Apion fuscirostre Fabrocius,Contarinia pulchripes (Kie€ffer),Clinodiplosis sarothamni Kieffer,Asphondylia sarothamni H. Loew,Phytodecta olivacea (Forster),Sitona regensteinensis Hbst,Chesias legatella (Schieffermueller),Chesias rufata (Fabricius),Acyrthosiphon spartii (Koch),Aphis sarathamni Franssen,Arytaina spartii Guerin-Memeville,Arytaina genistae Latreille,Ptezodoratus lituratus Fabricius,Apion immune Kirby,Leucoptera spartifoliella Hubner,Phoeophthorus rhododactylus (Marsh.),Halystinus obscurus (Marsh.),Orthotylus adenocarpi (Perris),Orthotylus virescens (Douglas and Scott),Orthotylus concolor (Kirschbaum),Heterocordylus tibialis (Hahn),Asciodema obseletum (Fieber),Anaphes autumnalis Forster,Aphidius sp.1,Aphidius sp.2,Aphanoginus venustus (Parr),Apanteles fulvipes Halliday,Apanteles vitripennis Curtis,Asolcus sp.1,Asolcus sp.2,Bacillus sp. nr lentus,Beauveria sp.,Centistes excrucians Haliday,Cheiropachys colon (L.),Chrysocharis gemma (Walker),Diasparsis sp.,Dinotiscus bidentulus Thoms.,Diospilus ephippium (Nees),Entodon sp. nr cyanellus Zett.,Ephedrus sp.,Erythmelus goochi Enoch,Eupelmella vesicularis (Retz),Eurytoma sp. nr morio Boh.,Habrocytus sequester (Walker),Inostemma lycon Walker,Leiophron heterocordyli Richards,Leiophron orthotyli Richards,Leiophron apicalis Curtis,Macquartia brevicornis (Panzer),Meigenia mutabilis (Fallen),Microctonus aethiops (Nees)-secalis Hal. complex,Microlitis fordi Nixon,Necremnus metalarus Walk.,Necremnus sp.,Nepiesta sp.,Paecilomyces sp.,Patasson diana (Girault),Patasson brachygaster (Debauche),Perilitus dubius (Wesmael),Phoridae sp.,Platygaster sp.,Platygerrhus dolosus (Walk.),Praon sp.,Pringalio soemias Walk.,Prionomitus mitratus Dalm.,Pseudocatolaccus thoracicus (Walker),Raphitelus maculatus Walk.,Spathius rubidus (Rossi),Systasis encyrtoides (Walker),Telenomus truncatus Mayr,Telenomus sokolovi Mayr,Tetrastichus nr flavovarius (Nees),Tetrastitchus nr. galactopus (Ratz),Tetrastichus sp.,Triaspis sp. nr obscurellus (Nees),Trichogramma sp.1,Trichogramma sp.2,Ablaxis sp.,Aprostocetus sp. nr aethiops (Zetterstedt),Aprostocetus brevicornis Panzer,Eupelmus urozonus Dalman,Eurytoma dentata Mayr,Tetrastichus nr attalus (Walk.),Torymus nr microstigma (Walker),Aprostocetus tibialis (Kurdjumov),Asaphes sp.,Charips sp.,Lygocerus sp.,Mesochorus sp.,Mesopolobus mediterraneus (Mayr),Torymus sp. nr micropterus (Walker),Laemophloeus ater (Ol.),Lestodiplosis sp.,Abax parellelopipedus (Pill and Mitt.),Adalia bipunctata (L.),Adalia decempunctata L.,Anatis ocellata (L.),Anthocoris nemoralis (Fab.),Anthocoris nemorum (L.),Anthocoris sarothamni (Douglas and Scott),Anystis baccarum L.,Araneus diadematus Clerck,Araneus sp.,Chrysopa carnea Stephens,Coccinella septempunctata L.,Deraeocoris ruber (L.),Ectobius laponicus (Oliver),Evarcha arcuata Clerck,Exochomus quadripustulatus L.,Feronia madidus (Fab.),Feronia nigra (Schall),Forficula auricularia (L.),Fringilla coelebs (Kleinschmidt),Halysia sexdecimguttata L.,Harpulus rubripes (Duft),Hemerobius sp.,Himacerus apterus (Fab.),Heterotoma merioptera (Scopoli).,Ilyobates nigricollis (Paykull),Immature spiders,Leistus spp.,Lyniphia triangularis Clerck,Meta segmentata Clerck,Nabis flavomarginatus (Scholtz),Ocypus compressus (Marsh),Oxypoda longiuscula (Gravenhorst),Parus caeruleus (Prazak),Parus major L.,Pergamasus crassipes L.,Phaenobremia sp.,Philodromus aurelolus caespiticolis Walck.,Philonthus politus (L.),Pisaura mirabilis Clerck,Plagiognathus arbustorum (Fab.),Platybunus triangularis Herbst.,Platycheirus scutatus (Meigen),Propylea quatuordecimpunctata (L.),Prunella modularis occidentalis (Hart.),Rhagonycha elongata (Fall.),Staphylinus sp.,Stenus sp.,Sylvia curruca curruca (L.),Syrphus luniger Meigen,Syrphus vitripennis Meigen,Syrphus calteatus Degeer,Tachynus rufipes (Degeer),Theridion ovatum Clerck,Theridion redimitum,Xantholinus linearis (Olivier),Xysticus audax Schrank,Xysticus cristatus Clerck,Trotteria sarothamni
Cytisus scoparius,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bruchidius ater (Marsham),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apion fuscirostre Fabrocius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contarinia pulchripes (Kie€ffer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinodiplosis sarothamni Kieffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asphondylia sarothamni H. Loew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phytodecta olivacea (Forster),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sitona regensteinensis Hbst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
Chesias legatella (Schieffermueller),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesias rufata (Fabricius),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
