"Kaiser-Bunbury, C.N., Memmott, J., and Muller, C.B. (2009). Community structure of pollination webs of Mauritian heathland habitats. Perspectives in Plant Ecology, Evolution and Systematics. 11, pp. 241-254.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flower visitors-plant interaction matrix - restored site - Mauritian heathland,Agauria salicifolia,Antidesma madagascariense,Antirhea borbonica,Aphloia theiformis,Badula insularis,Badula platiphylla,Bakerella hoyifolia ssp bojeri,Bertiera zaluzania ,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia coriacea var coriacea,Chassalia petrinensis,Claoxylon linostachys ssp brachyphyllum,Coffea macrocarpa,Coffea mauritiana,Colea colei,Cordemoya integrifolia,Croton fothergillifolius,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum var apetalum,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythrospermum monticolum var monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia chapelieri var chapelieri,Euodia obtusifolia ssp gigas var brachypoda,Euodia obtusifolia ssp gigas var gigas,Faujasiopsis flexuosa ssp erecta,Flagellaria indica,Gaertnera petrinensis,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Geniostoma borbonicum,Grangeria borbonica,Helichrysum proteoides,Labourdonnaisia callophylloides,Memecylon ovatifolium,Mimusops erythroxylon,Molinaea alternifolia,Monimiastrum globosum,Ochna mauritiana,Ocotea laevigata,Olea lancea,Pandanus barklyi var barklyi,Pandanus rigidifolius,Pandanus wiehii,Phyllanthus phillyreifolius var telfairianus,Pittosporum senacia,Pleurostylia leucocarpa ,Polyscias mauritiana,Psiadia terebinthina,Pyrostria fasciculata,Roussea simplex ,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata ssp lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium mauritianum,Syzygium petrinese,Syzygium venosum,Tabernaemontana persicarifolia,Tambourissa peltata,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Xylopia lamarckii,Xyris sp
Acalyptrate sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achaea finita Guenée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acopsis viridicans Amyot & Serville,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aganais borbonica Boisduval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrostis atritegulator Hampson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahasverus advena Waltle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allograpta nasuta Marquart,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Allograpta sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allograpta sp 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthomyia faciata Walker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
