"Kaiser-Bunbury, C.N., Valentin, T., Mougal, J., Matatiken, D., and Ghazoul, J. (2011). The tolerance of island plant-pollinator networks to alien plants. Journal of Ecology, 99, pp. 202-213.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant-pollinator network - Copolia - Island of Mahe - Seychelles,Fly sp1,Beetle sp4,Beetle sp5,Unknown sp1,Formicidae,Unknown sp6,Fly sp3,Beetle sp6,Mordellidae sp11,Elateroidea sp3,Megachile seychellensis,Hemipyrellia sp.,Beetle sp10,Diptera,Elateroidea sp2,Diptera,Unidentified bee sp1,Diptera,Formicidae,Fly sp15,Ceratina tabescens,Curculionidae sp12,Lasioglossum mahense,Beetle sp9,Ant sp2,Diptera,Diptera,Foudia madagascariensis,Agrius convolvuli,Apis mellifera adansonii,Simosyrphus aegyptius,Hymenoptera sp1,Fly sp14,Fly sp6,Diptera,Beetle sp14,Diptera,Ant sp1,Heteroptera sp1,Unknown sp2,Phelsuma sp.,Polistes olivaceus,Mabuya sechellensis,Nectarinia dussumieri,Leptocentrus madli,Salticidae sp1,Ornidia obesa,Fly sp5,Fly sp8,Eristalinus vicarians,Technomyrmex albipes,Coleoptera,Perissoma aenescens,Neavella albipectus,Fly sp11,Fly sp4,Fly sp10,Diptera,Rhynchium brunneum,Beetle sp13,Melanostoma annulipes,Cratopus aurostriatus,Adolendana typica,Diptera,Xylocopa caffra
Alstonia macrophylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphloia theiformis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campnospermum seychellarum,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Canthium bibracteatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysobalanus icaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cinnamomum verum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colea seychellarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craterispermum microdon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Deckenia nobilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillenia ferruginea,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
