"Lewis, O.T., Memmott, J., Lasalle, J., Lyal, C.H.C., Whitefoord, C., and Godfray, C.J. (2002). Structure of a Diverse Tropical Forest Insect-Parasitoid Community. Journal of Animal Ecology. 71, pp. 855-873.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Host-herbivore interaction - tropical forest - Belize - Central America,?Glyphipterigidae sp.1,?Heliozelidae sp.1,?Heliozelidae sp.3,?Nesomyza sp.,?Oecophoridae sp.,Anisostena championi (Baly),Brachys kleinei Obenberger,Bucculatricidae sp.1,Calycomyza cf. cassiae (Frost),Calycomyza hyptidis Spencer,Calycomyza sidae Spencer,Calycomyza sp.10,Calycomyza sp.13,Calycomyza sp.14,Calycomyza sp.16,Calycomyza sp.17,Calycomyza sp.2,Calycomyza sp.3,Calycomyza sp.5,Calycomyza sp.7,Calycomyza sp.8,Chalepus horni Baly,Chalepus sp.,Dialectica sp.,Gelechiidae sp.1,Gracillaridae sp.1,Gracillariidae sp.5,Gracillariinae sp.10,Gracillariinae sp.2,Gracillariinae sp.4 or Lepidoptera sp.1,Gracillariinae sp.7,Gracillariinae sp.8,Haplopeodes sp.1,Haplothyma sp.,Heliozelidae sp.6,Heterispa vinula (Erichson),Japanagromyza sp.,Lemurimyza sp.,Lepidoptera sp.3,Lepidoptera sp.4,Lepidoptera sp.6,Lithocolletinae sp.,Lithocolletinae sp.5,Lithocolletinae sp.6,Odontopus sp.1,Odontopus sp.2,Ophiomyia sp.1,Pachyschelus collaris robustus Wat.,Pachyschelus purpureus bicolor Kerr.,Pentispa fairmairei (Chapuis) or Baliosus lineaticollis Baly,Pentispa melanura (Chapuis),Phyllocnistinae sp.1,Probaenia armigeria (Baly),Scrobipalpula sp.2,Sumitrosis distinctus (Baly),Tischerea pulverea Walsingham,Tischeria sp.1,Tischeria sp.12,Tischeria sp.4,Tischeria sp.5,Tischeria sp.6,Tischeria sp.7,Tischeria sp.8,Tischeria sp.9,Unreared agromyzid sp.13,Unreared agromyzid sp.19,Unreared agromyzid sp.21,Unreared agromyzid sp.23,Unreared agromyzid sp.24,Unreared agromyzid sp.26,Unreared agromyzid sp.3,Unreared agromyzid sp.8,Unreared agromyzid sp.9,Unreared hispine sp.4,Unreared hispine sp.6,Unreared hispine sp.7,Unreared hispine sp.8,Unreared hispine sp.9,Unreared Lepidoptera sp.1,Unreared Lepidoptera sp.11,Unreared Lepidoptera sp.12,Unreared Lepidoptera sp.14,Unreared Lepidoptera sp.16,Unreared Lepidoptera sp.20,Unreared Lepidoptera sp.22,Unreared Lepidoptera sp.25,Unreared Lepidoptera sp.27,Unreared Lepidoptera sp.28,Unreared Lepidoptera sp.32,Unreared Lepidoptera sp.34,Unreared Lepidoptera sp.5,Unreared Lepidoptera sp.6,Uroplata fusca Chapuis,Uroplata fusca Chapuis
Acalypha costaricensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphilophium paniculatum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Asteraceae sp.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callicarpa acuminata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cardiospermum grandiflorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casearia corymbosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiococca alba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiococca belizensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costus pulverulentus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croton bilbergianus ssp. pyrimidalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dalechampia heteromorpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
