"Lewis, O.T., Memmott, J., Lasalle, J., Lyal, C.H.C., Whitefoord, C., and Godfray, C.J. (22). Structure of a Diverse Tropical Forest Insect-Parasitoid Community. Journal of Animal Ecology. 71, pp. 855-873.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Host-parasitoid interaction - tropical forest - Belize - Central America,Allobracon sp.,Apleurotropis sp.A,Apleurotropis sp.B,Apleurotropis sp.C,Aprostocetus sp.A,Aprostocetus sp.B,Asecodes sp.A,Bracon sp.1,Bracon sp.10,Bracon sp.11,Bracon sp.12,Bracon sp.13,Bracon sp.2,Bracon sp.3,Bracon sp.4,Bracon sp.5,Bracon sp.6,Bracon sp.7,Bracon sp.8,Bracon sp.9,Chalcidid sp.1,Chalcidid sp.2,Chrysocharis sp.A,Chrysocharis tristis,Cirrospilus sp.A,Closterocerus cinctipennis,Closterocerus sp.A,Closterocerus sp.B,Closterocerus sp.C,Elachertus sp.A,Elachertus sp.B,Elachertus sp.C,Elachertus sp.D,Elachertus sp.E,Elasmus sp.A,Emersonella sp.A,Euopius sp.,genus near Zaeucoila sp.1,genus near Zaeucoila sp.2,Horismenus sp.A,Horismenus sp.B,Horismenus sp.C,Horismenus sp.D,Horismenus sp.E,Horismenus sp.F,Lispixys sp.,Microgastrinae sp.1,Microgastrinae sp.2,Microgastrinae sp.3,Microgastrinae sp.4,Microgastrinae sp.5,Microgastrinae sp.6,Mirax lithocolletidis Ashmead,Mirax n. sp. 1,Mirax n. sp. 2,Mirax n. sp. 3,Neochrysocharis arizonensis,Neochrysocharis sp.??,Neochrysocharis sp.A,New Genus Entedoninae,Opius sp.1,Opius sp.10,Opius sp.11,Opius sp.12,Opius sp.12a,Opius sp.14,Opius sp.15,Opius sp.16,Opius sp.17,Opius sp.18,Opius sp.2,Opius sp.20,Opius sp.3,Opius sp.4,Opius sp.5,Opius sp.6,Opius sp.7,Opius sp.8,Opius sp.9,Pnigalio sp.A,Pnigalio sp.B,Proacrias sp.A,Proacrias sp.B,Proacrias sp.C,Pteromalidae 1,Pteromalidae 2,Pteromalidae 3,Quadrastichus sp.A,Stiropius sp.,Tachinid sp.,Tropideucoila sp.1,Tropideucoila sp.2,Zaeucoila cf. unicarinata,Zaeucoila sp.1,Zaommomyia sp.A,Zaommomyia sp.B,Zaommomyia sp.C,Zaommomyia sp.D,Zaommomyia sp.E
Allobracon sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apleurotropis sp.A,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Apleurotropis sp.B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Apleurotropis sp.C,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aprostocetus sp.A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aprostocetus sp.B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asecodes sp.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Bracon sp.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bracon sp.10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Bracon sp.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
