"Kelleway, J., Mazumder, D., Wilson, G.G., Saintilan, N., Knowles, L., Iles, J., and Kobayashi, T. (2010). Trophic structure of benthic resources and consumers varies across a regulated floodplain wetland. Marine and Freshwater Research. 61, pp. 430-440.",,
"Gwydir Wetlands, northern Murray-Darling Basin of NSW - Gingham Watercourse - May 2007",European Carp,Spangled Perch
Cyprinus carpio (WHOLE),0,1
FISH SCALES,0,1
FISH (ALL except EGGS),0,1
PALAEMONIDAE (WHOLE),0,1
PALAEMONIDAE (FRAGMENT),1,1
PALAEMONIDAE (ALL),0,1
Cherax destructor (FRAGMENTS),1,0
MACROCRUSTACEANS (ALL),1,1
CORIXIDAE (WHOLE),0,1
NOTONECTIDAE (WHOLE),0,1
HEMIPTERA (ALL),0,1
UNIDENTIFIED INSECT (FRAGMENT),0,1
INSECTS (ALL),0,1
UNIDENTIFIED INVERTEBRATE (FRAGMENTS),1,0
UNIDENTIFIED ANIMAL FRAGMENTS,1,1
CYCLOPOID COPEPODS (WHOLE),0,1
CLADOCERA: Diaphanosoma (WHOLE),0,1
CLADOCERA: Chydorinae (WHOLE),0,1
ZOOPLANKTON (ALL),0,1
PLANT DETRITUS (i.e. fragments),1,1
PLANT MATERIAL (ALL),1,1
GREEN ALGAE (FILAMENTOUS) (unidentified),1,1
ALGA FRAGMENTS (unidentified),1,1
ALGAE (ALL),1,1
EGGS (unidentified),0,1
SEDIMENT,1,0
GRAVEL,1,0
