"Hopkins, T.L., Ainley, D.G., Torres, J.J., and Lancraft, T.M. (1993). Trophie structure in open waters of the marginal ice zone in the Scotia-Weddell confluence region during spring (1983). Polar Biol. 13, pp. 389-397.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marginal ice zone in the Scotia-Weddell confluence region - Spring,Diatoms,Dinoflagellates,Silicoflagellates,Tintinnids,Foraminiferans,Radiolarians,Heliozoans,Oithona,Oncaea,Harpacticoids,Calanus/Calanoides,Calanoids (A),Metridia,Calanoids (B),Nauplii,Unidentified copepods,Ostracods,Hyperiid amphipods,Euphausiids,Euphausiid molt debris,Invertebrate eggs,Siphonophores,Pelagobla,Limacina,Clio,Chaetognaths,Larvaceans,Salps
Calanoides acutus,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calanus propinquus,25,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Euchaeta antarctica,0,0,0,0,0,0,0,2,1,0,2,8,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Euchirella rostromagna,21,10,5,3,10,12,2,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0
Gaetanus tenuisplnus,20,6,1,3,10,12,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
Haloptilus ocellatus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Heterorhabdus austrinus,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metridia curticauda,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Metridia gerlachei,18,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Oncaea antarctica,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pleuromamma robusta,18,7,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,3,1,0,0,0,0
Rhincalanus gigas,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scaphocalanus farrani,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,13,0,2,0,0,0,0,0,0
Scolecithricella cenotelis,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0
Spinocalanus abyssalis,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vibilia stebbingi,12,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Euphausia frigida,20,1,1,2,0,0,0,1,3,0,2,0,0,0,0,6,1,0,0,0,16,0,1,0,0,0,0,0
Euphausia superba,20,12,8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0
Thysanoessa macrura,14,15,0,2,0,0,0,1,0,1,0,3,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0
Clio pyramidata,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
Eukrohnia hamata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sagitta gazellae,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0
Sagitta marri,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Salpa thompsoni,20,18,4,16,12,4,0,0,0,1,0,2,0,0,5,1,0,0,0,0,16,0,0,1,0,0,0,0
Bathylagus antarcticus,0,0,0,0,0,1,0,1,40,0,0,4,37,15,0,0,25,2,2,2,0,20,10,0,0,7,6,16
Electrona antarctica,0,0,0,0,0,0,0,0,0,0,16,2,2,4,0,0,7,2,21,0,0,2,3,0,5,4,10,5
Gymnoscopelus braueri,0,0,0,0,0,0,0,0,3,0,8,5,14,4,0,0,13,5,35,0,0,2,4,0,2,5,11,1
Notolepis coatsi,0,0,0,0,0,0,0,1,5,0,1,2,1,0,0,0,1,0,8,0,0,0,6,0,0,9,0,0
