"Kitching, R.L. (1987). Spatial and Temporal Variation in Food Webs in Water-Filled Treeholes. Oikos. 48, pp. 280-288.",,,,,,,,,,,,
Tree hole community - regional food web - Lamington National Park - south-east Queensland - Australia,large particle detritus,small particle detritus,suspended organic matter,Prionocyphon niger (Scirtidae),Glogdia sp. (Psychodidae),algophagid mites,mosquito larvae,ostracods,Anatopynia pennipes (Chironomidae),Culicoides angularis (Ceratopogonidae),Arrhenurus sp. (Arrhenuridae),Lechriodus fletcheri (Leptodactylidae)
large particle detritus,0,0,0,1,0,0,0,0,0,0,0,0
small particle detritus,0,0,0,0,1,1,1,0,0,0,0,0
suspended organic matter,0,0,0,0,0,0,1,1,0,0,0,0
Prionocyphon niger (Scirtidae),0,0,0,0,0,0,0,0,1,1,1,1
Glogdia sp. (Psychodidae),0,0,0,0,0,0,0,0,1,1,1,1
algophagid mites,0,0,0,0,0,0,0,0,0,0,1,0
mosquito larvae,0,0,0,0,0,0,0,0,1,1,1,1
ostracods,0,0,0,0,0,0,0,0,0,0,0,0
Anatopynia pennipes (Chironomidae),0,0,0,0,0,0,0,0,0,1,1,1
Culicoides angularis (Ceratopogonidae),0,0,0,0,0,0,0,0,1,0,1,1
Arrhenurus sp. (Arrhenuridae),0,0,0,0,0,0,0,0,1,1,0,1
Lechriodus fletcheri (Leptodactylidae),0,0,0,0,0,0,0,0,0,0,0,1
