"Hodkinson, I.D., and Coulson, S.J. (2004). Are high Arctic terrestrial food chains really that simple? - The Bear Island food web revisited. Oikos. 106, pp. 427-431.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrestrial invertebrate food web - Bear Island - Bjornoya - Svalbard,Reindeer dung,Soil organic matter,Cyanobacteria (mainly Nostoc commune),Lichens (Cladonia spp + Cetraria delisei),Mosses (mainly Racomitrium lanuginosum),Vascular plants (13 species),Dung fly (Scatophaga furcata),Soil microflora,Mycetophilidae,Enchytraeidae Nematoda (several species),Terrestrial chironomids (inc. Smittia),Cryptostigmatic mites (Camisia anomia - Tectocephus velatus - Diapterobates notatus - Mycobates sarakensis - Hermannia reticulata - Ceratoppia hoeli - Opiella neerlandica),Collembola (Isotoma anglicana - Hypogastrura viatica - Sminthurides inaequalis - Folsomia quadrioculata - Folsomia bisetosa - Sminthurinus concolor - Onychiurus groenlandicus - Ceratophysella longispina),Aphid (Acyrthosiphon svalbardicum),Sawfly (Prontopristia amentorum),Testate amoebae (Dufflugia sp. - Centropyxis cassis - Trigonopyxis arcula - Euglypha tuberulata - Cyclopyxis arcelloides - Arcella vulgaris - Arcella cinctus - Nebella tincta - Centropyxis platystoma),Allochthonous Diptera,Allochthonous Lepidoptera (Plutella xylostella),Predatory mites (Gamasidae + Prostigmata - 4 spp. Inc. Zircon sp.),Spiders (Erigone arctica - Erigone psychrophila - Meioneta nigripes - Halorates spetsbergensis - Hilaira glacialis),Aphidophagous predator (Parasyrphus tarsatus),Parasitoid (Diceretiella rapae),Parasitoids (Synodites lineiger - Ichneutes hyperboreus),Parasitoids (Aclastus borealis - Gelis glacialis),Hyperparasitoids (Dendrocerus bifoveatus - Alloxysta sp),Muscomorpha,Nematocera (mainly aquatic chironomids 18+ species),Parasitoids (Plectiscidea hyperborea - Stenomacrus groenlandicus),Parasitoid (Atractodes pusillus),Insectivorous birds (Purple sandpiper - Snow bunting (Juv.)),Ectoparasites (Phthiraptera)
Reindeer dung,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soil organic matter,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria (mainly Nostoc commune),0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lichens (Cladonia spp + Cetraria delisei),0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosses (mainly Racomitrium lanuginosum),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vascular plants (13 species),0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dung fly (Scatophaga furcata),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soil microflora,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycetophilidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enchytraeidae Nematoda (several species),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrestrial chironomids (inc. Smittia),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptostigmatic mites (Camisia anomia - Tectocephus velatus - Diapterobates notatus - Mycobates sarakensis - Hermannia reticulata - Ceratoppia hoeli - Opiella neerlandica),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Collembola (Isotoma anglicana - Hypogastrura viatica - Sminthurides inaequalis - Folsomia quadrioculata - Folsomia bisetosa - Sminthurinus concolor - Onychiurus groenlandicus - Ceratophysella longispina),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Aphid (Acyrthosiphon svalbardicum),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Sawfly (Prontopristia amentorum),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Testate amoebae (Dufflugia sp. - Centropyxis cassis - Trigonopyxis arcula - Euglypha tuberulata - Cyclopyxis arcelloides - Arcella vulgaris - Arcella cinctus - Nebella tincta - Centropyxis platystoma),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allochthonous Diptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Allochthonous Lepidoptera (Plutella xylostella),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Predatory mites (Gamasidae + Prostigmata - 4 spp. Inc. Zircon sp.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spiders (Erigone arctica - Erigone psychrophila - Meioneta nigripes - Halorates spetsbergensis - Hilaira glacialis),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Aphidophagous predator (Parasyrphus tarsatus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Parasitoid (Diceretiella rapae),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Parasitoids (Synodites lineiger - Ichneutes hyperboreus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasitoids (Aclastus borealis - Gelis glacialis),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hyperparasitoids (Dendrocerus bifoveatus - Alloxysta sp),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muscomorpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nematocera (mainly aquatic chironomids 18+ species),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Parasitoids (Plectiscidea hyperborea - Stenomacrus groenlandicus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Parasitoid (Atractodes pusillus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Insectivorous birds (Purple sandpiper - Snow bunting (Juv.)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ectoparasites (Phthiraptera),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
