"Poepperl, R. (2003). A Quantitative Food Web Model for the Macroinvertebrate Community of a Northern German Lowland Stream. Internat. Rev. Hydrobiol. 88, pp. 433-452.",,,,,,,,,,,,,
Alte Schwentine stream - northern Germany - Diet composition,Theod - Ancyl - Acro - Valva,Potamo - Bithyn - Lymn,Anodonta - Pseudanod,Unio sp.,Sphaeriidae,Dreissena polymorpha,Oligochaeta,Chironomidae and Ceratop.,Hirud - Tricladida - Hydrachn,Trich and Ephem - c,Sialis - Odo - Mola - Polycen,Hydropsyche sp.,Asellus - Gammarus - Limon
Primary producer,0.5,0.15,0,0,0,0,0.1,0.05,0,0.35,0,0.05,0.05
Theod - Ancyl - Acro - Valva,0,0,0,0,0,0,0,0,0.02,0,0.03,0,0
Potamo - Bithyn - Lymn,0,0,0,0,0,0,0,0,0.4,0,0.08,0,0
Anodonta - Pseudanod,0,0,0,0,0,0,0,0,0.05,0,0,0,0
Unio sp.,0,0,0,0,0,0,0,0,0.03,0,0,0,0
Sphaeriidae,0,0,0,0,0,0,0,0,0,0,0.05,0,0
Dreissena polymorpha,0,0,0,0,0,0,0,0,0.03,0,0.03,0.01,0
Oligochaeta,0.01,0,0,0,0,0,0,0,0.2,0.01,0.15,0.03,0.01
Chironomidae and Ceratop.,0,0,0,0,0,0,0,0.02,0.12,0,0.15,0.05,0.01
Hirud - Tricladida - Hydrachn,0,0,0,0,0,0,0,0,0.02,0,0,0,0
Trich and Ephem - c,0,0,0,0,0,0,0,0,0.03,0,0.06,0.01,0
Sialis - Odo - Mola - Polycen,0,0,0,0,0,0,0,0,0.05,0,0.08,0,0
Hydropsyche sp.,0,0,0,0,0,0,0,0,0,0,0.07,0.03,0
Asellus - Gammarus - Limon,0,0,0,0,0,0,0,0,0.05,0,0.15,0,0
Detritus - sed.,0.49,0.8,0,0,0,0,0.85,0.9,0,0.63,0,0.2,0.93
Import,0,0.05,1,1,1,1,0.05,0.03,0,0.01,0.15,0.62,0
