"Goldwasser, L., and Roughgarden, J. (1993). Construction and Analysis of a Large Caribbean Food Web. Ecology. 74, pp. 1216-1233.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin Island - northern Lesser Antilles - Caribbean - bird predators and arthropod prey of Anolis lizards,Kestrel,Allogyptus crenshawi,Mesocoelium sp.,Thalandros cubensis,Pearly-eyed Thrasher,Anolis gingivinus,Hummingbirds,Elaenia,Anolis pogus,Scaly-breasted Thrasher,Gray Kingbird,Yellow Warbler,Grassquit,Bananaquit,Centipede,Adult spider,Bullfinch,Juvenile spider,Coleoptera adult,Orthoptera,Hemiptera,Coleoptera larva,Ants,Diptera larva,Thysanoptera,Collembola,Mites,Other hymenoptera,Isoptera,Isopoda,Annelid,Fungi,Gastropoda,Millipede,Lepidoptera larva,Homoptera,Diptera adult,Lepidoptera adult
Anolis gingivinus,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hummingbirds,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elaenia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anolis pogus,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scaly-breasted Thrasher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gray Kingbird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow Warbler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grassquit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bananaquit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centipede,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult spider,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
