"Walsh, G. E. (1967) An ecological study of a Hawaiian mangrove swamp. In: G.H. Lauff (ed) (1967) Estuaries (AAAS Publication 83, Washington, DC, 1967), pp. 420-431, from p. 429.",,,,,,,,,,,,,,
Mangrove swamp 6 - Hawaii,Tilapia mossambica,Podophthalmus vigil,copepods,Metopograpsis messor,Macrobrachium,Oxyurichthyes lonchotus,Palaemonetes,Kuhlia sandvicensis,Charybdis orientalis,Scylla serrata,Eleotris sandwicensis,Conger marginatus,Mugil cephalus,Chonophorous genivittatus
detritus,1,0,1,0,0,0,0,0,1,0,1,0,0,0
diatoms,1,1,1,1,1,1,1,0,1,0,0,0,1,1
Chlamydomonas,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Ulothrix,0,0,0,1,1,1,1,0,1,0,0,0,0,0
nematodes,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ostracods,0,0,0,0,0,1,1,0,0,0,1,0,0,0
Melampus parvulus,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Littorina scabra,0,0,0,0,0,0,0,0,0,0,1,0,0,0
copepods,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Macrobrachium,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Palaemonetes,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Kuhlia sandvicensis,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Charybdis orientalis,0,0,0,0,0,0,0,0,0,0,0,1,0,0
