"N.N. Smirnov. Food cycles in sphagnous bogs. Hydrobiologia. 17, pp. 175-182.",,,,,,,,,,,,,
Sphagnum bog - Russia - USSR,Psectrocladius larvae,chironomid larvae - cladocerans - rotifers,fungi,caterpillars,Utricularia,collembola,Chaoborus - Odonata larvae - Hemiptera - Coleoptera,Nematocera imagines,Drosera,ants,spiders,frogs - lizards - birds,birds of prey
Sphagnum riparium,1,0,0,0,0,0,0,0,0,0,0,0,0
algae,1,0,0,0,0,0,0,0,0,0,0,0,0
detritus,0,1,0,0,0,0,0,0,0,0,0,0,0
decomposing sphagnum,0,0,1,0,0,1,0,0,0,0,0,0,0
angiosperms,0,0,0,1,0,0,0,0,0,0,0,1,0
Psectrocladius larvae,0,0,0,0,0,0,1,1,0,0,0,0,0
chironomid larvae - cladocerans - rotifers,0,0,0,0,1,0,1,1,0,0,0,0,0
fungi,0,0,0,0,0,1,0,0,0,1,0,0,0
caterpillars,0,0,0,0,0,0,0,0,0,0,0,1,0
Chaoborus - Odonata larvae - Hemiptera - Coleoptera,0,0,0,0,0,0,0,1,0,0,0,0,0
Nematocera imagines,0,0,0,0,0,0,0,0,1,1,1,0,0
ants,0,0,0,0,0,0,0,0,0,0,1,0,0
spiders,0,0,0,0,0,0,0,0,0,0,0,1,0
frogs - lizards - birds,0,0,0,0,0,0,0,0,0,0,0,0,1
