"Tsuda, M. (1972). Interim results of the Yoshino River productivity survey, especially on benthic animals. In: Z. Kajak and A. Hillbricht-Ilkowska (eds). Productivity Problems of Freshwaters. (Polish Scientific, Warsaw), pp. 827-841.  ",,,,,,,,,,,,,,
Yoshino River rapids - Japan,Diptera,Ephemerella,Baetidae,Ecdyonuridae,Plecoptera,Stenopsyche,Hydropsyche,Micrasema,Plecoglossus altivelis,Cobitis biwae - Rhinogobius flumineus,Liobagrus reini,Cottus pollux,Maroco jouyi,Oncorhynchus rhodurus
algae,1,1,1,1,1,1,1,1,1,0,0,0,0,0
surface bait,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Diptera,0,0,0,0,0,0,0,0,0,1,0,1,1,1
Ephemerella,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Baetidae,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Ecdyonuridae,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Plecoptera,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Stenopsyche,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Hydropsyche,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Micrasema,0,0,0,0,0,0,0,0,0,1,0,1,1,1
