"Sorokin, Y. (1972). Biological productivity of the Rybinsk reservoir. In:  A. Kajak & A. Hillbricht-Ilkowska (eds), Productivity Problems of Freshwaters (Polish Scientific, Warsaw), pp. 493-503. ",,,,,,,,,,,,,
Lake Rybinsk - Russia - USSR,bacterioplankton,benthic bacteria,planktonic protozoa,Rotatoria - Calanoida - Cladocera,macrobenthos,predatory zooplankton,predatory benthos,fish larvae,planktivorous fishes,benthos-feeding fishes,predatory fishes,other predatory fishes,man
allochthonous organic matter,1,1,0,0,0,0,0,0,0,0,0,0,0
phytoplankton,1,1,1,1,1,0,0,1,0,1,0,0,0
macrophytes,0,1,0,0,0,0,0,0,0,0,0,0,0
bacterioplankton,0,0,1,1,0,0,0,0,0,0,0,0,0
benthic bacteria,0,0,0,0,1,0,0,0,0,1,0,0,0
planktonic protozoa,0,0,0,0,0,1,0,1,0,0,0,0,0
Rotatoria - Calanoida - Cladocera,0,0,0,0,0,1,0,1,1,0,0,0,0
macrobenthos,0,0,0,0,0,0,1,0,0,1,0,0,0
predatory zooplankton,0,0,0,0,0,0,0,1,1,0,0,0,0
predatory benthos,0,0,0,0,0,0,0,0,0,1,0,0,0
fish larvae,0,0,0,0,0,0,0,0,0,0,1,0,0
planktivorous fishes,0,0,0,0,0,0,0,0,0,0,1,0,1
benthos-feeding fishes,0,0,0,0,0,0,0,0,0,0,1,0,1
predatory fishes,0,0,0,0,0,0,0,0,0,0,0,1,1
other predatory fishes,0,0,0,0,0,0,0,0,0,0,0,0,1
