"Baril, A. (1983). Effect of the water mite Piona constricta on planktonic community structure. M.Sc. Thesis, University of Ottawa, Canada.",,,,,,,,,,,,
Heney Lake - pelagic zone - Quebec,bacteria,Daphnia - Diaphanosoma - Ceriodaphnia,Bosmina - Chydorus - Tropocyclops,Diaptomus,copepodites,rotifers and copepod nauplii,Leptodora kindtii,Chaoborus,Epischura - Mesocyclops - Acanthocyclops,Piona constricta,Osmerus eperlanus mordax,"Salvelinus namaycush, Esox lucius"
phytoplankton cells above 30 micrometer,0,0,0,1,0,0,0,0,0,0,0,0
phytoplankton cells 10-30 micrometer,0,1,0,1,1,0,0,0,0,0,0,0
phytoplankton cells below 10 micrometer,0,0,1,1,1,1,0,0,0,0,0,0
particulate organic matter,1,0,1,0,0,1,0,0,0,0,0,0
dissolved organic matter,1,0,0,0,0,0,0,0,0,0,0,0
bacteria,0,0,1,0,0,1,0,0,0,0,0,0
Daphnia - Diaphanosoma - Ceriodaphnia,0,0,0,0,0,0,1,1,0,1,1,0
Bosmina - Chydorus - Tropocyclops,0,0,0,0,0,0,1,1,1,1,0,0
Diaptomus,0,0,0,0,0,0,0,1,0,0,1,0
copepodites,0,0,0,0,0,0,0,1,1,0,0,0
rotifers and copepod nauplii,0,0,0,0,0,0,0,1,1,0,0,0
Leptodora kindtii,0,0,0,0,0,0,0,0,0,0,1,0
Chaoborus,0,0,0,0,0,0,0,0,0,0,1,0
Epischura - Mesocyclops - Acanthocyclops,0,0,0,0,0,0,0,0,0,0,1,0
Osmerus eperlanus mordax,0,0,0,0,0,0,0,0,0,0,0,1
