"Schiemer, F. (1979). The benthic community of the open lake. In: H. Löffler, (ed). Neusiedlersee: The Limnology of a Shallow Lake in Central Europe, Junk, The Hague, pp. 337–384.",,,,,,,,,,,
Neusiedler Lake - Austria,bacteria,zooplankton,Hypsibius augusti (tartigrade),Tanypus punctipennis,Blicca bjorkna,Procladius,Pelecus cultratus,Limnocythere - Paraplectonema - tubificidae,Acerina cernua (pope),Lucioperca,Anquilla anquilla
organic matter,1,0,0,0,0,0,0,0,0,0,0
phytoplankton,0,1,0,0,0,1,0,0,0,0,0
benthic algae,0,0,1,1,1,0,0,0,0,0,0
bacteria,0,0,0,0,0,0,0,1,0,0,0
zooplankton,0,0,0,0,0,1,1,0,0,1,0
Tanypus punctipennis,0,0,0,0,0,0,0,0,1,0,1
Blicca bjorkna,0,0,0,0,0,0,0,0,0,0,1
Procladius,0,0,0,0,0,0,0,0,1,0,0
Pelecus cultratus,0,0,0,0,0,0,0,0,0,1,0
Acerina cernua (pope),0,0,0,0,0,0,0,0,0,1,1
