"Riedel, D. (1962). Der Margheritensee (Sudabessinien) - Zugleich ein Beitrag zur Kenntnis der Abessinischen Graben-Seen. Arch. Hydrobiol. 58(4):435-466.",,,,,,,,,,
Lake Abaya - Ethiopia,zooplankton,hippopotamus,zoobenthos,fish fry,Tilapia zilli,Barbus - Mormyrus,Carnivorous fishes,piscivorous birds,crocodile,13
phytoplankton,1,0,0,0,1,0,0,0,0,0
aquatic plants,0,1,0,0,1,0,0,0,0,1
ooze,0,0,1,0,0,0,0,0,0,0
zooplankton,0,0,0,1,1,0,0,0,0,0
hippopotamus,0,0,0,0,0,0,0,0,0,1
zoobenthos,0,0,0,0,1,1,0,0,0,0
fish fry,0,0,0,0,0,0,1,0,0,0
Tilapia zilli,0,0,0,0,0,0,1,1,1,1
Barbus - Mormyrus,0,0,0,0,0,0,0,1,1,1
Carnivorous fishes,0,0,0,0,0,0,0,0,1,1
piscivorous birds,0,0,0,0,0,0,0,0,1,1
crocodile,0,0,0,0,0,0,0,0,0,1
