"Burgis, M.J., Dunn, I.G., Ganf, G.G., McGowan, L.M. and Viner, A.B. (1972). Lake George, Uganda: Studies on a tropical freshwater ecosystem. In: Z.  Kajak and A. Hillbricht-Ilkowska, (eds). Productivity Problems of Freshwaters. (Polish Scientific, Warsaw), pp. 301-309.",,,,,,,,,,,,,,
Lake George - Uganda,zooplankton,herbivorous Diptera,mid-water feeding fishes,Tilapia leucosticta - T. nilotica,mollusks,worms,Mesocyclops - Asplanchna,bottom-feeding fishes,man,carnivorous Diptera,surface feeding fishes,insectivorous birds,piscivorous fishes,piscivorous birds
algae,1,1,1,1,1,0,0,0,0,0,0,0,0,0
detritus,0,0,0,0,0,1,0,1,0,0,0,0,0,0
zooplankton,0,0,0,0,0,0,1,0,0,1,1,0,0,0
herbivorous Diptera,0,0,0,0,0,0,0,1,0,0,0,1,0,0
mid-water feeding fishes,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Tilapia leucosticta - T. nilotica,0,0,0,0,0,0,0,0,1,0,0,0,1,1
mollusks,0,0,0,0,0,0,0,1,0,0,0,0,0,0
worms,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mesocyclops - Asplanchna,0,0,0,0,0,0,0,0,0,1,1,0,0,0
bottom-feeding fishes,0,0,0,0,0,0,0,0,0,0,0,0,1,1
carnivorous Diptera,0,0,0,0,0,0,0,0,0,0,0,1,0,0
surface feeding fishes,0,0,0,0,0,0,0,0,0,0,0,0,1,1
piscivorous fishes,0,0,0,0,0,0,0,0,0,0,0,0,0,1
