"Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",,,,,,,,,,,,,,,,,,
Lake Paajarvi - offshore - Finland,bacteria - protozoa - fungi,Turbellaria - Halacaridae - Tartigrada - Copepoda (Diacyclops - Bryocamptus) - Cladocera (Alona - Ilyocryptus) - Chironomidae (Mesocricotopus - Micropsectra) - Cytheridea,Nematoda (Ironus - Tobrilus) - Oligochaeta (Psammoryctes - Tubifex - Peloscolex - Stylodrilus),Pisidium,Pallasea,Daphnia - Bosmina - Polyarthra - Conochilus - Eudiaptomus - Synchaeta,Chironomidae (Procladius - Pentaneurini - Protanypus),Acanthocyclops - Paracladopelma - Monodiamesa,Asplanchna - Heterocope - Thermocyclops - Leptodora,Gammaracanthus,Chaoborus,Mysis,Coregonus albula,young smelt,ruff,burbot,smelt,walleye
phytoplankton,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
allochthonous organic matter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bottom organic matter,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bacteria - protozoa - fungi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Turbellaria - Halacaridae - Tartigrada - Copepoda (Diacyclops - Bryocamptus) - Cladocera (Alona - Ilyocryptus) - Chironomidae (Mesocricotopus - Micropsectra) - Cytheridea,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nematoda (Ironus - Tobrilus) - Oligochaeta (Psammoryctes - Tubifex - Peloscolex - Stylodrilus),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pisidium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pallasea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Daphnia - Bosmina - Polyarthra - Conochilus - Eudiaptomus - Synchaeta,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0
Chironomidae (Procladius - Pentaneurini - Protanypus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Acanthocyclops - Paracladopelma - Monodiamesa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Asplanchna - Heterocope - Thermocyclops - Leptodora,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gammaracanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Mysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Coregonus albula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
young smelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
smelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
