"S.W. Nixon and C.A. Oviatt. (1973). Ecology of a New England Salt Marsh. Ecological Monographs, 43(4), pp. 463-498.",,,,,,,,,,,
Salt marsh - Rhode Island - U.S.A.,nematodes - copepods - ostracods,amphipods,zooplankton,juvenile menhaden,shrimps,common mummichog,striped mummichog,other fish,ducks,eel,man
Ruppia,0,0,0,0,0,0,0,0,1,1,0
Ulva - Enteromorpha,0,0,0,0,0,0,0,0,1,0,0
detritus,1,1,0,1,1,1,1,0,0,0,0
phytoplankton,0,0,1,1,0,0,0,0,0,0,0
nematodes - copepods - ostracods,0,0,0,0,0,1,0,0,0,0,0
amphipods,0,0,0,0,1,1,0,1,0,0,0
zooplankton,0,0,0,0,0,0,0,1,0,0,0
shrimps,0,0,0,0,0,0,1,1,1,1,0
common mummichog,0,0,0,0,0,0,0,0,1,1,1
striped mummichog,0,0,0,0,0,0,0,0,0,1,0
other fish,0,0,0,0,0,0,0,0,0,1,0
