"Sarvala, J. (1974). Paarjarven energiatalous. Luonnon Tutkija, 78(4-5):181-190.",,,,,,,,,,,,,,,,,,,,,,
Lake Paajarvi - littoral zone - Finland,bacterioplankton,Anodonta,Copepoda (Attheyella - Paracyclops - Paracamptus...) - Ostracoda (Candona - Darwinula - Cyclocypris - Cypridopsis),Nematoda (Ironus - Tobrilus) - Oligochaeta (Limnodrilus - Psammoryctes - Peloscolex - Lumbriculidae - Naididae),,Chironomidae (Microtendipes - Tanytarsus - Pseudochironomus - Limnochironomus),Ephemeroptera (Caenis - Ephemera - Cloeon...),Trichoptera (Athripsodes - Oxyethira) - Mollusca (Pisidium - Lymnaea Valvata - Gyraulus - Sphaerium),Sida - Eurycercus - Bosmina - Diaphanosoma - Rotatoria,Acanthocyclops - Macrocyclops - Demicryptochironomus - Monodiameda,Chironomidae (Procladius - Cryptochironomus - Leptochironomus - Ablabesmyia),Hirudinea (Erpobdella - Helobdella),Mermithidae,Trichoptera (Cyrnus - Oecetis - Molanna),Turbellaria,Asplanchna - Polyphemus,Coregonus lavaretus,salakka,Perca fluviatilis,ruff (Gymnocephalus cernus),Rutilus rutilus,pike - adult yellow perch (Perca)
phytoplankton,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
allochthonous organic matter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potamogeton -Lobelia - Isoetes - Sparganium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bottom organic matter - benthic macroalgae,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
terrestrial adult insects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bacterioplankton,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Copepoda (Attheyella - Paracyclops - Paracamptus...) - Ostracoda (Candona - Darwinula - Cyclocypris - Cypridopsis),0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0
Nematoda (Ironus - Tobrilus) - Oligochaeta (Limnodrilus - Psammoryctes - Peloscolex - Lumbriculidae - Naididae),0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
Asellus - Pallasea - Cladocera (Eurycercus - Alona - Alonella),0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0
Chironomidae (Microtendipes - Tanytarsus - Pseudochironomus - Limnochironomus),0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0
Ephemeroptera (Caenis - Ephemera - Cloeon...),0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0
Trichoptera (Athripsodes - Oxyethira) - Mollusca (Pisidium - Lymnaea Valvata - Gyraulus - Sphaerium),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Sida - Eurycercus - Bosmina - Diaphanosoma - Rotatoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Acanthocyclops - Macrocyclops - Demicryptochironomus - Monodiameda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Chironomidae (Procladius - Cryptochironomus - Leptochironomus - Ablabesmyia),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Trichoptera (Cyrnus - Oecetis - Molanna),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Asplanchna - Polyphemus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
salakka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Perca fluviatilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ruff (Gymnocephalus cernus),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rutilus rutilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
