"Aulio, K., Jumppanen, K., Molsa, H., Nevalainen, J., Rajasilta, M. and Vuorinen, I. (1981). Litoraalin merkitys Pyhajarven kalatuotannolle, Sakylan Pyhajarven Tila Ja Biologinen Tuotanto (Lounais-Suomen Vesiensuojeluyhdistys R. Y., Turku, Finland) 47:173-176.",,,,,,,,,,,,,,,,,,,,,
Lake Pyhajarvi - littoral zone - Finland,Keratella - Kellicottia,Codonella - Vorticella,Daphnia - Bosmina,Sida - Eurycercus,Lymnaea - Planorbis - Goera,chironomids,Stylodrilus,Ephemera - Caenis - Heptagenia,Pisidium - Sphaerium,Nematoda - Harpacticoida - Cyclopoida - Ostracoda,Asellus,Polycentropus - Molanna,Ablabesmyia,Erpobdella - Helobdella,Coregonus albula,Coregonus lavaretus,Rutilus rutilus,Gymnocephalus cernus,Cyclopoida,young fish,Perca fluviatilis
phytoplankton,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
suspended detritus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aquatic plants,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sedimented detritus,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0
Keratella - Kellicottia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Codonella - Vorticella,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Daphnia - Bosmina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Sida - Eurycercus,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1
Lymnaea - Planorbis - Goera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
chironomids,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1
Stylodrilus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ephemera - Caenis - Heptagenia,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1
Pisidium - Sphaerium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
Nematoda - Harpacticoida - Cyclopoida - Ostracoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Asellus,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
Polycentropus - Molanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Ablabesmyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Erpobdella - Helobdella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cyclopoida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
young fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
