"Mizuno, N. & Furtado, J.I. (1982). Ecological notes on fishes. In J. I. Furtado & S. Mori (eds), The Ecology of a Tropical Freshwater Swamp, the Tasek Bera. (Dr W. Junk Publishers, The Hague), pp.321-349.",,,,,,,,,,,,,,,,,,,
Tasek Bera swamp - Malaysia,bacteria - fungi,zooplankton,emergent herbivorous insects,benthic herbivores,herbivorous fishes,invertebrate defoliators,vertebrate herbivores,shrimps,detritivorous invertebrates,detritivorous fishes,benthic carnivores,carnivorous invertebrates,emergent carnivorous insects,carnivorous fishes,spiders,frogs,swallows,snakes - gharial - turtles,Kingfisher - Teal
suspended detritus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phytoplankton,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
periphyton,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utricularia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submerged macrophytes (Blyxa - Cryptocoryne - Nitella),0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sedimented detritus,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Pandanus - Lepironia,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
swamp forest,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
bacteria - fungi,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
zooplankton,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
emergent herbivorous insects,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
benthic herbivores,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
herbivorous fishes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
invertebrate defoliators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
shrimps,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
detritivorous invertebrates,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
detritivorous fishes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
benthic carnivores,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
carnivorous invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
emergent carnivorous insects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
carnivorous fishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
spiders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
frogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
