"Holm, E. and Scholtz, C.H. (1980). Structure and pattern of the Namib Desert dune ecosystem at Gobabeb. Madoqua 1: 3–39.",,,,,,,,,,,,,
Sand dunes - Namib Desert - Namibia,Tenebrionidae - Orthoptera - Curculionidae,oryx - hare,Aclerda,Thysanura - Isoptera - other Tenebrionidae,scarabs,Gerbillus,spiders - solpugids - scorpions,mole,Aporosaura,Typhlosaurus - lizards,snakes,jackal - hyena,birds
annuals (Monsonia - Stipagrostis - Eragrostis),1,1,0,0,0,1,0,0,0,0,0,0,0
perennials,1,0,1,0,0,1,0,0,0,0,0,0,0
wind-blown detritus,0,0,0,1,0,0,0,0,1,0,0,0,0
animal dung,0,0,0,0,1,0,0,0,0,0,0,0,0
Tenebrionidae - Orthoptera - Curculionidae,0,0,0,0,0,1,1,1,0,1,0,1,1
Aclerda,0,0,0,0,0,0,1,1,0,0,0,0,0
Thysanura - Isoptera - other Tenebrionidae,0,0,0,0,0,0,1,1,1,1,0,1,1
scarabs,0,0,0,0,0,0,1,0,0,1,0,0,1
Gerbillus,0,0,0,0,0,0,0,0,0,0,0,0,1
spiders - solpugids - scorpions,0,0,0,0,0,0,0,1,1,1,0,0,0
mole,0,0,0,0,0,0,0,0,0,0,0,1,1
Aporosaura,0,0,0,0,0,0,0,0,0,0,1,1,1
Typhlosaurus - lizards,0,0,0,0,0,0,0,0,0,0,1,1,1
snakes,0,0,0,0,0,0,0,0,0,0,0,0,1
