"Howes, P.G. (1954). The Giant Cactus Forest and Its World: A Brief Biology of the Cactus Forest of Our American Southwest (Duell, Sloan, and Pearce, New York), pp. 222-239.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonora Desert - Arizona,pocket mouse,doves - Palmer's thrasher - sage sparrow - Lark bunting - House finch - goldfinch - Gambel sparrow,white-tailed deer,harvester ants,crickets - grasshoppers - caterpillars,cottontails,ground squirrels,wood rats,kangaroo rats,cactus beetles - cactus weevils,Palo Verde weevil,leaf-cutting ants,hummingbirds,honeybees,butterflies - moths,flies,black vulture - turkey vulture - raven,uta - horned lizard - gecko,sage thrasher - robin,cactus woodpecker,badger,cactus wren,flycatcher,Horned owl,backbirds - mockingbird - oriole - cardinal,Blue bird,Sparrow hawk,swift,scorpion - spiders,Race runner,Bull snake - Red racer - rattlesnakes,Gray fox,skunk,grasshopper mice,Red-tailed hawk,Road runner,Coral snake,bobcat,coyote
grass Schismus barbatus,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
cacti (including seeds and fruits),0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
seeds of other plants,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
creosote bush,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palo Verde,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mistletoe (berries),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
leaves,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
nectar,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
animal carcasses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
pocket mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
doves - Palmer's thrasher - sage sparrow - Lark bunting - House finch - goldfinch - Gambel sparrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
harvester ants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
crickets - grasshoppers - caterpillars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cottontails,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
ground squirrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
